	dass	dfcp
emojiQfaceWithStuckOutTongueAndTightlyClosedEyes	5.0	1.0
weg	5.0	
ne	5.0	
redactedQ3tokens10characters	5.0	
redactedQ6tokens27characters	5.0	
redactedQ1tokens11characters	5.0	
Schön	5.0	
hat	5.0	
glaube	5.0	
redactedQ2tokens14characters	5.0	
stark	5.0	
stoht	5.0	
schon	5.0	
mann	5.0	
redactedQ3tokens19characters	5.0	
devo	5.0	
erwartet	5.0	
chum	5.0	
Danke	5.0	
ds	5.0	
dere	5.0	
beidi	5.0	1.0
redactedQ10tokens50characters	5.0	
redactedQ7tokens36characters	5.0	
Mier	5.0	
Si	5.0	
Nid	5.0	
emojiQokHandSign	5.0	
wend	5.0	
aifach	5.0	
doof	5.0	
nimm	5.0	
redactedQ7tokens29characters	5.0	
scheisse	5.0	
bish	5.0	
Isch	5.0	1.0
emojiQspeakNoEvilMonkey	5.0	
D	5.0	
redactedQ7tokens37characters	5.0	
redactedQ9tokens45characters	5.0	
ä	5.0	1.0
:*	5.0	
stund	5.0	
obe	5.0	
zeiche	5.0	
Nöd	5.0	
gell	5.0	
frau	5.0	
lauft	5.0	
merci	5.0	
nome	5.0	
glaubs	5.0	
redactedQ5tokens25characters	5.0	
hends	5.0	
din	5.0	
becho	5.0	
abig	5.0	
geil	5.0	
oh	5.0	
gueti	5.0	
kein	5.0	
chönnt	5.0	
stimmt	5.0	
demit	5.0	
susch	4.0	
ahnig	4.0	
Ussert	4.0	
Hahah	4.0	
NNN	4.0	
Sicher	4.0	
eu	4.0	
idee	4.0	
redactedQ9tokens49characters	4.0	
hey	4.0	
trotzdem	4.0	
Bisch	4.0	
redactedQ6tokens32characters	4.0	
selber	4.0	
emojiQsmilingFaceWithSunglasses	4.0	
gut	4.0	
gönd	4.0	
fr	4.0	
wörkli	4.0	
soo	4.0	
keis	4.0	
redactedQ3tokens11characters	4.0	
Jop	4.0	
ia	4.0	
emojiQoctopus	4.0	
passt	4.0	
ka	4.0	
wüssed	4.0	
Lueg	4.0	1.0
nacher	4.0	
glich	4.0	
zahle	4.0	1.0
redactedQ4tokens22characters	4.0	
her	4.0	
meitli	4.0	
ergebnis	4.0	
dine	4.0	
Hey	4.0	
zrugg	4.0	
Mhm	4.0	
redactedQ4tokens14characters	4.0	
freud	4.0	
defür	4.0	
6	4.0	
ane	4.0	
redactedQ6tokens28characters	4.0	
:0	4.0	
säg	4.0	1.0
:-D	4.0	
Bin	4.0	
wirst	4.0	
waish	4.0	
häsch	4.0	
schad	4.0	
churz	4.0	
hoffnig	4.0	
ufgfalle	4.0	
ab	4.0	
Hihi	4.0	
gärn	4.0	
Ne	4.0	
diar	4.0	
nüd	4.0	
NNNN	4.0	
hemmer	4.0	
weish	4.0	
när	4.0	
redactedQ6tokens26characters	4.0	
daran	4.0	
Hesch	4.0	
jede	4.0	1.0
nomol	4.0	
mau	4.0	1.0
weni	4.0	
krass	4.0	
Finds	4.0	
redactedQ9tokens38characters	4.0	
wür	4.0	
emojiQpartyPopper	4.0	
seich	4.0	
redactedQ8tokens42characters	4.0	
geh	4.0	
bemerkt	4.0	
meinsch	4.0	1.0
redactedQ4tokens15characters	4.0	
chef	4.0	
sig	4.0	
geld	4.0	
mitneh	4.0	
gshribe	4.0	
wat	4.0	
ni	4.0	6.0
agsproche	4.0	
dänke	4.0	
wott	4.0	
ihr	4.0	
knapp	4.0	
aus	4.0	
natel	4.0	2.0
hatte	4.0	
redactedQ6tokens23characters	4.0	
tuet	4.0	
simmer	4.0	1.0
läbe	4.0	
redactedQ8tokens37characters	4.0	
welli	4.0	
scheiss	4.0	
4	4.0	
Luegsch	4.0	
dervo	4.0	
;	4.0	
Der	4.0	
möglich	4.0	
demfall	4.0	
iez	4.0	
emojiQvictoryHand	4.0	
emojiQfaceWithColdSweat	4.0	
paar	4.0	
nacht	4.0	
dann	4.0	
emojiQsmilingFaceWithHorns	4.0	
rede	4.0	
emojiQgrowingHeart	4.0	
schrib	4.0	
blöd	4.0	
*	4.0	
fründ	4.0	
üs	4.0	
wirklich	4.0	
Mir	4.0	
tue	4.0	
Für	4.0	
über	4.0	1.0
recht	4.0	
fescht	4.0	
abgmacht	4.0	
redactedQ2tokens15characters	4.0	
omg	4.0	
man	4.0	
gemein	4.0	
okay	4.0	
ire	4.0	
rugge	4.0	
vode	4.0	
zwar	4.0	
kauft	4.0	
7	4.0	
söll	4.0	
müend	4.0	
samstig	4.0	
dis	4.0	
wäg	4.0	1.0
Gestank	3.0	
moment	3.0	
von	3.0	
sorge	3.0	
machsch	3.0	
you	3.0	
lange	3.0	
liebe	3.0	
bestialisch	3.0	
Etzt	3.0	
eppis	3.0	
übercho	3.0	
zug	3.0	1.0
A	3.0	
verdichtet	3.0	
Ya	3.0	
muus	3.0	
haut	3.0	
Kacke	3.0	
redactedQ5tokens27characters	3.0	
Wo	3.0	
gedauert	3.0	
wunder	3.0	
gewesen	3.0	
Ka	3.0	
verzehlt	3.0	
Verdauungsbombe	3.0	
Abseilen	3.0	
Oder	3.0	
ahh	3.0	
weniger	3.0	1.0
redactedQ8tokens40characters	3.0	
Hoi	3.0	
schuld	3.0	
Ach	3.0	
bevor	3.0	1.0
dänki	3.0	
30	3.0	
Häsch	3.0	
ersht	3.0	
verstoh	3.0	
noch	3.0	
ein	3.0	
:-P	3.0	
aha	3.0	
okey	3.0	
muss	3.0	
Oh	3.0	1.0
redactedQ6tokens29characters	3.0	
eus	3.0	
Shad	3.0	
usrichte	3.0	
auszuhalten	3.0	
wusste	3.0	
Anteilnahme	3.0	
Rührung	3.0	
gschribe	3.0	
sach	3.0	
machen	3.0	
mou	3.0	
eigentli	3.0	
redactedQ7tokens44characters	3.0	
schiss	3.0	
ischs	3.0	
Wieso	3.0	
chunt	3.0	1.0
redactedQ7tokens32characters	3.0	
redactedQ1tokens10characters	3.0	
bett	3.0	
Morge	3.0	
redactedQ2tokens12characters	3.0	
vou	3.0	
würkli	3.0	
hetti	3.0	
lebe	3.0	
Hesh	3.0	
redactedQ9tokens35characters	3.0	
Hani	3.0	
Na	3.0	
miteme	3.0	
dassi	3.0	
Sind	3.0	
ebba	3.0	
eim	3.0	
sy	3.0	
brucht	3.0	
kha	3.0	
fürs	3.0	
gerne	3.0	
heigsch	3.0	
schrieb	3.0	
Ds	3.0	
chance	3.0	
welt	3.0	
abo	3.0	
redactedQ8tokens38characters	3.0	
erfahre	3.0	
bro	3.0	
iwia	3.0	
treumt	3.0	
gross	3.0	
anderi	3.0	
u	3.0	2.0
nia	3.0	
ihri	3.0	1.0
wi	3.0	
grund	3.0	
redactedQ7tokens30characters	3.0	
chash	3.0	
wir	3.0	
checkt	3.0	
:-)	3.0	
klappt	3.0	
redactedQ12tokens65characters	3.0	
Di	3.0	
goh	3.0	
8	3.0	
nomal	3.0	
:))	3.0	
traum	3.0	
redactedQ10tokens54characters	3.0	
Argument	3.0	
schnöu	3.0	
obs	3.0	
wiä	3.0	
waiss	3.0	1.0
luegsch	3.0	
Bini	3.0	
redactedQ7tokens34characters	3.0	
emojiQgrimacingFace	3.0	
redactedQ17tokens83characters	3.0	
ahahaha	3.0	
schnell	3.0	
zit	3.0	
hoara	3.0	
biz	3.0	
Hahahaha	3.0	
wette	3.0	
redactedQ6tokens34characters	3.0	
eso	3.0	
darauf	3.0	
ganzi	3.0	
bild	3.0	
dumm	3.0	
dihei	3.0	
;*	3.0	
morgä	3.0	
programm	3.0	
Sry	3.0	
egal	3.0	
redactedQ8tokens44characters	3.0	
redactedQ8tokens33characters	3.0	
